date,6Y,7Y,10Y,20Y
1/2/1990,8.97,9.31,9.64,1.96
1/3/1990,9.01,9.4,9.75,2.04
1/4/1990,9.01,9.36,9.73,2
1/5/1990,9.02,9.36,9.68,2.06
1/8/1990,8.97,9.42,9.68,2.02
1/9/1990,9.01,9.41,9.73,2.04
1/10/1990,9,9.33,9.77,2.03
1/11/1990,9.03,9.38,9.76,2.03
1/12/1990,9.08,9.45,9.77,1.95
1/16/1990,9.2,9.53,9.94,2.03
1/17/1990,9.16,9.51,9.91,2.05
1/18/1990,9.32,9.66,10.03,2.05
1/19/1990,9.28,9.57,10,2
1/22/1990,9.28,9.65,10.01,1.95
1/23/1990,9.25,9.57,10.02,2.01
1/24/1990,9.33,9.7,10.13,2.01
1/25/1990,9.38,9.75,10.08,2.02
1/26/1990,9.44,9.82,10.18,2.04
1/29/1990,9.46,9.84,10.23,2.04
1/30/1990,9.53,9.85,10.24,2.05
1/31/1990,9.44,9.75,10.11,2.01
2/1/1990,9.4,9.74,10.07,1.98
2/2/1990,9.47,9.81,10.25,1.98
2/5/1990,9.5,9.85,10.28,1.97
2/6/1990,9.55,9.88,10.33,1.98
2/7/1990,9.57,9.87,10.22,2.05
2/8/1990,9.52,9.81,10.23,2
2/9/1990,9.38,9.74,10.07,2.03
2/12/1990,9.43,9.76,10.16,1.96
2/13/1990,9.37,9.7,10.06,2
2/14/1990,9.41,9.7,10.07,2.05
2/15/1990,9.47,9.84,10.19,1.97
2/16/1990,9.47,9.79,10.16,2.03
2/20/1990,9.64,9.97,10.28,1.99
2/21/1990,9.65,9.96,10.27,2.03
2/22/1990,9.55,9.94,10.3,2.04
2/23/1990,9.52,9.91,10.27,1.97
2/26/1990,9.5,9.85,10.19,1.95
2/27/1990,9.43,9.77,10.07,2.02
2/28/1990,9.5,9.94,10.16,2.05
3/1/1990,9.63,10.02,10.34,1.97
3/2/1990,9.6,9.9,10.29,1.97
3/5/1990,9.68,10.06,10.41,2.01
3/6/1990,9.62,10,10.24,1.96
3/7/1990,9.63,10.03,10.29,1.98
3/8/1990,9.67,9.96,10.32,2.05
3/9/1990,9.73,10.1,10.39,2.04
3/12/1990,9.74,10.1,10.37,2.04
3/13/1990,9.8,10.16,10.49,2.06
